500: {'accuracy': 0.788}, num_failures: 0
500: {'accuracy': 0.928}, num_failures: 0
500: {'accuracy': 0.752}, num_failures: 0
500: {'accuracy': 0.762}, num_failures: 0
500: {'accuracy': 0.906}, num_failures: 0
500: {'accuracy': 0.748}, num_failures: 0
500: {'accuracy': 0.795}, num_failures: 0
500: {'accuracy': 0.753}, num_failures: 0
500: {'accuracy': 0.93}, num_failures: 0
500: {'accuracy': 0.963}, num_failures: 0
500: {'accuracy': 0.934}, num_failures: 0
500: {'accuracy': 0.761}, num_failures: 0
500: {'accuracy': 0.942}, num_failures: 0
500: {'accuracy': 0.745}, num_failures: 0
500: {'accuracy': 0.755}, num_failures: 0
500: {'accuracy': 0.747}, num_failures: 0
500: {'accuracy': 0.763}, num_failures: 0
500: {'accuracy': 0.926}, num_failures: 0
500: {'accuracy': 0.924}, num_failures: 0
500: {'accuracy': 0.92}, num_failures: 0
500: {'accuracy': 0.785}, num_failures: 0
500: {'accuracy': 0.894}, num_failures: 0
500: {'accuracy': 0.914}, num_failures: 0
500: {'accuracy': 0.919}, num_failures: 0
500: {'accuracy': 0.94}, num_failures: 0
500: {'accuracy': 0.774}, num_failures: 0
500: {'accuracy': 0.747}, num_failures: 0
500: {'accuracy': 0.775}, num_failures: 0
500: {'accuracy': 0.76}, num_failures: 0
500: {'accuracy': 0.791}, num_failures: 0
500: {'accuracy': 0.959}, num_failures: 0
500: {'accuracy': 0.77}, num_failures: 0
500: {'accuracy': 0.9}, num_failures: 0
500: {'accuracy': 0.744}, num_failures: 0
500: {'accuracy': 0.78}, num_failures: 0
500: {'accuracy': 0.92}, num_failures: 0
500: {'accuracy': 0.776}, num_failures: 0
500: {'accuracy': 0.905}, num_failures: 0
500: {'accuracy': 0.778}, num_failures: 0
500: {'accuracy': 0.878}, num_failures: 0
500: {'accuracy': 0.799}, num_failures: 0
500: {'accuracy': 0.753}, num_failures: 0
500: {'accuracy': 0.771}, num_failures: 0
500: {'accuracy': 0.772}, num_failures: 0
500: {'accuracy': 0.73}, num_failures: 0
500: {'accuracy': 0.907}, num_failures: 0
500: {'accuracy': 0.777}, num_failures: 0
500: {'accuracy': 0.885}, num_failures: 0
500: {'accuracy': 0.782}, num_failures: 0
500: {'accuracy': 0.749}, num_failures: 0
500: {'accuracy': 0.756}, num_failures: 0
500: {'accuracy': 0.793}, num_failures: 0
500: {'accuracy': 0.792}, num_failures: 0
500: {'accuracy': 0.773}, num_failures: 0
