500: {'accuracy': 0.9035555555555556}, num_failures: 0
500: {'accuracy': 0.9511111111111111}, num_failures: 0
500: {'accuracy': 0.7693333333333333}, num_failures: 0
500: {'accuracy': 0.7648888888888888}, num_failures: 0
500: {'accuracy': 0.7511111111111111}, num_failures: 0
500: {'accuracy': 0.92}, num_failures: 0
500: {'accuracy': 0.9208888888888889}, num_failures: 0
500: {'accuracy': 0.9142222222222223}, num_failures: 0
500: {'accuracy': 0.7804444444444445}, num_failures: 0
500: {'accuracy': 0.7564444444444445}, num_failures: 0
500: {'accuracy': 0.9266666666666666}, num_failures: 0
