500: {'accuracy': 0.7613333333333333}, num_failures: 319
500: {'accuracy': 0.7373333333333333}, num_failures: 296
500: {'accuracy': 0.9526666666666667}, num_failures: 185
500: {'accuracy': 0.7573333333333333}, num_failures: 232
500: {'accuracy': 0.9233333333333333}, num_failures: 175
500: {'accuracy': 0.772}, num_failures: 248
500: {'accuracy': 0.9593333333333334}, num_failures: 289
500: {'accuracy': 0.7786666666666666}, num_failures: 238
500: {'accuracy': 0.746}, num_failures: 265
500: {'accuracy': 0.7573333333333333}, num_failures: 180
500: {'accuracy': 0.762}, num_failures: 263
500: {'accuracy': 0.944}, num_failures: 274
500: {'accuracy': 0.752}, num_failures: 213
