500: {'accuracy': 0.774}, num_failures: 62
500: {'accuracy': 0.7493333333333333}, num_failures: 53
500: {'accuracy': 0.7453333333333333}, num_failures: 40
500: {'accuracy': 0.7553333333333333}, num_failures: 41
500: {'accuracy': 0.7573333333333333}, num_failures: 37
500: {'accuracy': 0.766}, num_failures: 48
500: {'accuracy': 0.758}, num_failures: 53
500: {'accuracy': 0.7746666666666666}, num_failures: 42
500: {'accuracy': 0.896}, num_failures: 39
500: {'accuracy': 0.7693333333333333}, num_failures: 37
500: {'accuracy': 0.748}, num_failures: 55
500: {'accuracy': 0.7686666666666667}, num_failures: 47
500: {'accuracy': 0.9113333333333333}, num_failures: 36
