500: {'accuracy': 0.7773333333333333}, num_failures: 0
500: {'accuracy': 0.944}, num_failures: 0
500: {'accuracy': 0.7626666666666667}, num_failures: 0
500: {'accuracy': 0.932}, num_failures: 0
500: {'accuracy': 0.7426666666666667}, num_failures: 0
500: {'accuracy': 0.776}, num_failures: 0
500: {'accuracy': 0.764}, num_failures: 0
500: {'accuracy': 0.7253333333333334}, num_failures: 0
500: {'accuracy': 0.9106666666666666}, num_failures: 0
500: {'accuracy': 0.7786666666666666}, num_failures: 0
500: {'accuracy': 0.7413333333333333}, num_failures: 0
500: {'accuracy': 0.7533333333333333}, num_failures: 0
500: {'accuracy': 0.928}, num_failures: 0
500: {'accuracy': 0.9493333333333334}, num_failures: 0
500: {'accuracy': 0.7666666666666667}, num_failures: 0
500: {'accuracy': 0.8986666666666666}, num_failures: 0
500: {'accuracy': 0.7853333333333333}, num_failures: 0
500: {'accuracy': 0.9173333333333333}, num_failures: 0
