500: {'accuracy': 0.9293333333333333}, num_failures: 2050
500: {'accuracy': 0.7506666666666667}, num_failures: 2223
500: {'accuracy': 0.7613333333333333}, num_failures: 2161
500: {'accuracy': 0.7746666666666666}, num_failures: 1888
500: {'accuracy': 0.7426666666666667}, num_failures: 2184
500: {'accuracy': 0.7666666666666667}, num_failures: 2213
500: {'accuracy': 0.7626666666666667}, num_failures: 2138
500: {'accuracy': 0.8}, num_failures: 2116
500: {'accuracy': 0.7546666666666667}, num_failures: 2202
500: {'accuracy': 0.764}, num_failures: 1985
500: {'accuracy': 0.8106666666666666}, num_failures: 2069
500: {'accuracy': 0.7133333333333334}, num_failures: 1842
500: {'accuracy': 0.732}, num_failures: 2101
500: {'accuracy': 0.752}, num_failures: 2141
500: {'accuracy': 0.7653333333333333}, num_failures: 2722
500: {'accuracy': 0.9426666666666667}, num_failures: 1326
500: {'accuracy': 0.9466666666666667}, num_failures: 2464
500: {'accuracy': 0.7733333333333333}, num_failures: 1754
500: {'accuracy': 0.8893333333333333}, num_failures: 2162
500: {'accuracy': 0.7666666666666667}, num_failures: 1791
500: {'accuracy': 0.772}, num_failures: 1927
500: {'accuracy': 0.7733333333333333}, num_failures: 2677
500: {'accuracy': 0.896}, num_failures: 1620
500: {'accuracy': 0.7626666666666667}, num_failures: 2101
500: {'accuracy': 0.9213333333333333}, num_failures: 2467
500: {'accuracy': 0.9333333333333333}, num_failures: 2362
500: {'accuracy': 0.736}, num_failures: 2537
500: {'accuracy': 0.7826666666666666}, num_failures: 2498
500: {'accuracy': 0.7693333333333333}, num_failures: 2278
500: {'accuracy': 0.7853333333333333}, num_failures: 2577
500: {'accuracy': 0.7946666666666666}, num_failures: 2089
500: {'accuracy': 0.9346666666666666}, num_failures: 2184
500: {'accuracy': 0.7693333333333333}, num_failures: 2167
500: {'accuracy': 0.7453333333333333}, num_failures: 1810
500: {'accuracy': 0.768}, num_failures: 2164
500: {'accuracy': 0.7973333333333333}, num_failures: 2079
500: {'accuracy': 0.7693333333333333}, num_failures: 1604
500: {'accuracy': 0.7626666666666667}, num_failures: 2127
