500: {'accuracy': 0.76}, num_failures: 17351
500: {'accuracy': 0.768}, num_failures: 18108
500: {'accuracy': 0.7726666666666666}, num_failures: 16406
500: {'accuracy': 0.766}, num_failures: 15454
500: {'accuracy': 0.7526666666666667}, num_failures: 13708
500: {'accuracy': 0.9533333333333334}, num_failures: 15448
500: {'accuracy': 0.7446666666666667}, num_failures: 16716
500: {'accuracy': 0.8926666666666667}, num_failures: 16397
500: {'accuracy': 0.9106666666666666}, num_failures: 15812
500: {'accuracy': 0.7753333333333333}, num_failures: 15147
500: {'accuracy': 0.7706666666666667}, num_failures: 13822
500: {'accuracy': 0.7926666666666666}, num_failures: 16630
500: {'accuracy': 0.77}, num_failures: 16237
500: {'accuracy': 0.9073333333333333}, num_failures: 16333
500: {'accuracy': 0.9586666666666667}, num_failures: 17412
500: {'accuracy': 0.7753333333333333}, num_failures: 19169
500: {'accuracy': 0.7726666666666666}, num_failures: 15932
500: {'accuracy': 0.7573333333333333}, num_failures: 17902
500: {'accuracy': 0.7866666666666666}, num_failures: 15679
