500: {'accuracy': 0.7813333333333333}, num_failures: 11220
500: {'accuracy': 0.7866666666666666}, num_failures: 12210
500: {'accuracy': 0.882}, num_failures: 10930
500: {'accuracy': 0.8973333333333333}, num_failures: 10974
500: {'accuracy': 0.746}, num_failures: 10464
500: {'accuracy': 0.8013333333333333}, num_failures: 10554
500: {'accuracy': 0.7566666666666667}, num_failures: 12019
500: {'accuracy': 0.78}, num_failures: 11988
500: {'accuracy': 0.8846666666666667}, num_failures: 13072
500: {'accuracy': 0.7726666666666666}, num_failures: 10780
500: {'accuracy': 0.7633333333333333}, num_failures: 10626
500: {'accuracy': 0.8813333333333333}, num_failures: 12649
500: {'accuracy': 0.8906666666666667}, num_failures: 12811
500: {'accuracy': 0.778}, num_failures: 10213
500: {'accuracy': 0.7733333333333333}, num_failures: 12105
500: {'accuracy': 0.772}, num_failures: 13631
500: {'accuracy': 0.7766666666666666}, num_failures: 11318
500: {'accuracy': 0.9226666666666666}, num_failures: 11247
500: {'accuracy': 0.89}, num_failures: 11614
